timestamp,ax,ay,az
49.809,-1.36,-0.59,1.6
49.819,-1.47,-0.83,1.72
49.829,-1.61,-1.03,1.73
49.839,-1.84,-1.19,1.68
49.849,-1.99,-1.29,1.53
49.86,-2.05,-1.28,1.19
49.869,-2.11,-1.15,0.78
49.88,-2.01,-0.89,0.38
49.89,-1.81,-0.61,0.09
49.9,-1.5,-0.33,-0.04
49.91,-1.22,-0.03,-0.08
49.92,-1.01,0.18,-0.07
49.93,-0.82,0.31,0.06
49.94,-0.48,0.44,0.26
49.95,-0.26,0.63,0.39
49.96,-0.06,0.78,0.44
49.97,0.12,0.84,0.57
49.981,0.44,0.9,0.74
49.991,0.79,0.9,0.79
50.001,1.12,0.9,0.69
50.011,1.43,0.9,0.4
50.021,1.53,0.83,-0.07
50.031,1.44,0.7,-0.48
50.041,1.19,0.58,-0.78
50.051,0.95,0.37,-0.85
50.061,0.7,0.13,-0.71
50.071,0.49,-0.1,-0.5
50.081,0.38,-0.32,-0.34
50.091,0.38,-0.44,-0.19
50.101,0.48,-0.52,-0.13
50.111,0.57,-0.49,-0.15
50.122,0.68,-0.36,-0.21
50.132,0.88,-0.21,-0.33
50.142,0.98,-0.09,-0.46
50.152,1.09,-0.01,-0.51
50.162,1.17,0.11,-0.51
50.172,1.13,0.06,-0.57
50.182,1.14,-0.11,-0.59
50.192,1.23,-0.28,-0.48
50.202,1.56,-0.34,-0.2
50.212,1.75,-0.4,0.01
50.222,1.63,-0.43,-0.07
50.232,1.64,-0.42,-0.21
50.242,1.49,-0.36,-0.53
50.252,1.48,-0.3,-0.78
50.263,1.47,-0.24,-0.9
50.273,1.43,-0.15,-1.05
50.283,1.37,-0.08,-1.27
50.293,1.13,-0.05,-1.47
50.303,0.96,0.03,-1.6
50.313,1.01,0.2,-1.49
50.323,1.21,0.38,-1.24
50.333,1.35,0.49,-1.03
50.343,1.52,0.53,-0.9
50.353,1.68,0.57,-0.77
50.364,2.08,0.57,-0.6
50.373,2.33,0.71,-0.5
50.384,2.39,0.74,-0.56
50.394,2.31,0.73,-0.59
50.404,2.28,0.71,-0.45
50.414,2.24,0.64,-0.12
50.424,2.29,0.51,0.32
50.434,2.41,0.41,0.81
50.444,2.71,0.29,1.26
50.454,2.99,0.28,1.61
50.464,3.08,0.11,1.63
50.474,3.0,-0.08,1.27
50.484,2.84,-0.22,0.82
50.494,2.74,-0.36,0.34
50.505,2.62,-0.46,-0.01
50.514,2.44,-0.49,-0.3
50.525,2.24,-0.55,-0.49
50.535,2.01,-0.55,-0.64
50.545,1.76,-0.56,-0.8
50.555,1.64,-0.53,-0.79
50.565,1.78,-0.4,-0.54
50.575,1.89,-0.22,-0.31
50.585,1.95,-0.14,-0.23
50.595,2.11,0.03,-0.2
50.605,2.23,0.13,-0.2
50.615,2.24,0.14,-0.13
50.625,2.11,0.01,0.03
50.635,1.96,-0.15,0.28
50.646,1.86,-0.28,0.56
50.656,1.79,-0.39,0.72
50.666,1.65,-0.46,0.74
50.676,1.53,-0.52,0.65
50.686,1.42,-0.59,0.42
50.696,1.37,-0.59,0.16
50.706,1.4,-0.54,-0.03
50.716,1.55,-0.54,-0.18
50.726,1.69,-0.48,-0.32
50.736,1.72,-0.4,-0.45
50.746,1.72,-0.41,-0.61
50.756,1.61,-0.39,-0.69
50.766,1.39,-0.47,-0.64
50.776,1.18,-0.6,-0.52
50.787,0.96,-0.69,-0.3
50.797,0.82,-0.71,-0.02
50.807,0.72,-0.64,0.1
50.817,0.64,-0.49,0.05
50.827,0.54,-0.4,-0.14
50.837,0.53,-0.32,-0.33
50.847,0.54,-0.17,-0.56
50.857,0.48,0.01,-0.76
50.867,0.28,0.16,-0.92
50.877,0.01,0.25,-1.09
50.887,-0.24,0.33,-1.14
50.897,-0.5,0.39,-1.04
50.908,-0.75,0.35,-0.74
50.917,-0.92,0.29,-0.33
50.928,-1.05,0.24,0.11
50.938,-1.15,0.17,0.55
50.948,-1.12,0.09,0.94
50.958,-1.04,0.04,1.22
50.968,-1.03,0.03,1.23
50.978,-1.0,0.06,1.04
