timestamp,ax,ay,az
87.013,-1.75,0.14,0.59
87.023,-1.61,0.05,0.77
87.034,-1.55,-0.05,0.87
87.043,-1.53,-0.11,0.98
87.054,-1.58,-0.1,1.05
87.064,-1.56,-0.12,1.21
87.074,-1.39,-0.11,1.56
87.084,-1.2,-0.12,1.92
87.094,-0.99,-0.15,2.11
87.104,-0.88,-0.08,2.09
87.114,-0.87,0.05,1.84
87.124,-0.84,0.14,1.46
87.134,-0.8,0.13,1.07
87.144,-0.76,0.03,0.73
87.154,-0.65,-0.07,0.4
87.164,-0.72,-0.18,0.16
87.175,-0.8,-0.45,-0.07
87.185,-0.87,-0.67,-0.17
87.195,-0.88,-0.75,-0.23
87.205,-0.83,-0.7,-0.34
87.215,-0.73,-0.56,-0.54
87.225,-0.76,-0.35,-0.69
87.235,-0.8,-0.22,-0.73
87.245,-0.7,-0.18,-0.78
87.255,-0.51,-0.14,-0.71
87.265,-0.18,-0.09,-0.35
87.275,0.27,-0.06,0.13
87.285,0.73,-0.04,0.52
87.296,0.98,-0.01,0.78
87.306,1.04,-0.09,0.98
87.316,0.94,-0.17,1.13
87.326,0.84,-0.22,1.18
87.336,0.89,-0.18,1.19
87.346,1.08,-0.15,1.09
87.356,1.2,-0.22,1.01
87.366,1.41,-0.24,1.02
87.376,1.6,-0.34,1.01
87.386,1.69,-0.58,0.96
87.396,1.62,-0.84,0.89
87.406,1.7,-1.1,0.78
87.417,1.88,-1.15,0.6
87.426,2.05,-0.86,0.35
87.437,2.22,-0.63,-0.01
87.447,2.05,-0.37,-0.41
87.457,1.85,-0.26,-0.84
87.467,1.83,-0.2,-1.28
87.477,1.83,-0.06,-1.38
87.487,1.66,-0.07,-1.01
87.497,1.76,-0.25,-0.37
87.507,1.73,-0.26,0.36
87.517,1.41,-0.37,0.93
87.527,1.22,-0.54,1.35
87.538,1.37,-0.52,1.66
87.547,1.8,-0.35,1.92
87.558,2.32,-0.09,2.04
87.568,2.58,0.16,1.91
87.578,2.79,0.12,1.75
87.588,3.09,-0.05,1.74
87.598,3.2,-0.1,1.93
87.608,3.11,-0.01,1.8
87.618,2.96,0.15,1.17
