timestamp,ax,ay,az
172.749,6.47,3.4,-2.71
172.759,6.86,4.83,-2.8
172.769,7.22,6.01,-3.17
172.779,7.91,7.05,-3.45
172.79,8.29,7.76,-3.68
172.8,7.89,7.71,-3.76
172.81,6.78,7.1,-3.73
172.82,5.43,6.32,-3.51
172.83,4.36,5.49,-3.36
172.84,3.31,4.67,-3.21
172.85,2.39,4.14,-2.8
172.86,1.71,3.84,-2.49
172.87,0.56,3.61,-2.43
172.88,-0.4,3.55,-2.54
172.89,-1.41,3.47,-2.59
172.9,-2.64,3.25,-2.37
172.91,-3.17,3.06,-1.85
172.92,-3.8,2.94,-1.11
172.931,-4.56,2.85,-0.33
172.941,-4.75,2.52,0.35
172.951,-4.41,2.11,0.88
172.961,-4.0,1.69,1.31
172.971,-3.92,1.16,1.52
172.981,-3.82,0.58,1.66
172.991,-3.53,-0.06,1.87
173.001,-3.2,-0.61,1.95
173.011,-2.58,-1.01,1.96
173.021,-2.16,-1.48,1.72
173.031,-2.1,-1.64,2.68
173.041,-1.56,-1.89,3.24
173.051,-0.63,-2.36,3.63
173.061,0.25,-2.77,4.38
173.072,0.39,-2.9,5.28
173.081,0.05,-3.04,5.74
173.092,-0.65,-3.43,5.71
173.102,-1.06,-3.8,5.42
173.112,-0.83,-4.12,5.02
173.122,-0.57,-4.18,5.2
173.132,0.41,-3.97,5.66
173.142,1.16,-3.95,6.15
173.152,0.93,-4.09,6.47
173.162,0.12,-4.23,6.2
173.172,0.12,-3.74,5.56
173.182,0.71,-3.0,4.81
173.193,1.23,-2.76,4.03
173.202,1.84,-2.57,3.29
173.213,2.2,-2.64,2.65
173.223,2.41,-2.95,2.19
173.233,2.38,-2.71,1.61
173.243,2.22,-2.32,0.4
173.253,2.07,-2.17,-1.03
173.263,1.91,-1.98,-2.01
173.273,2.28,-1.91,-2.56
173.283,2.62,-1.89,-2.49
173.293,2.85,-2.08,-2.39
173.303,2.23,-2.35,-2.6
173.313,2.63,-2.44,-2.79
173.323,2.52,-1.32,-2.89
173.334,0.51,0.12,-4.21
173.344,1.99,1.27,-4.84
173.354,1.7,2.63,-6.22
