timestamp,ax,ay,az
106.424,-3.48,-5.59,3.65
106.434,-3.29,-5.61,3.03
106.444,-3.08,-5.48,2.48
106.454,-2.85,-5.44,2.2
106.464,-2.3,-5.52,2.42
106.474,-1.55,-5.61,3.02
106.484,-0.64,-5.59,4.02
106.494,0.49,-5.59,5.35
106.506,1.91,-5.89,6.33
106.514,3.65,-6.29,6.69
106.524,5.53,-6.55,6.41
106.535,7.09,-6.66,6.0
106.545,8.12,-6.61,5.85
106.555,8.78,-6.44,5.82
106.565,8.83,-6.23,5.47
106.575,7.98,-5.87,4.97
106.585,6.62,-5.33,4.87
106.595,4.97,-4.77,4.13
106.605,3.6,-4.09,3.07
106.615,3.36,-2.95,2.73
106.625,3.86,-1.7,2.45
106.636,5.35,-0.47,2.5
106.645,7.01,0.68,2.65
106.656,8.16,1.64,2.6
106.666,8.58,2.21,2.17
106.676,8.06,2.43,1.47
106.686,6.77,2.42,0.71
106.696,5.09,2.33,0.04
106.706,3.46,2.1,-0.3
106.716,2.26,1.8,-0.22
106.726,1.45,1.53,-0.04
106.736,0.86,1.32,0.01
106.746,0.32,1.07,-0.16
106.756,-0.14,0.76,-0.42
106.766,-0.43,0.43,-0.7
106.777,-0.62,0.16,-1.05
106.787,-0.93,-0.13,-1.4
106.797,-1.17,-0.46,-1.72
106.807,-1.17,-0.73,-2.08
106.817,-1.07,-0.91,-2.29
106.827,-0.96,-1.09,-2.35
106.837,-0.69,-1.28,-2.26
106.847,-0.46,-1.41,-2.55
106.857,-0.54,-1.42,-3.07
106.867,-0.61,-1.19,-3.56
106.877,-0.46,-0.93,-4.21
106.889,-0.18,-0.7,-5.0
106.897,-0.21,-0.41,-5.74
106.908,0.33,0.07,-6.84
106.918,0.93,0.59,-8.07
106.928,1.27,1.27,-9.26
106.938,1.64,1.96,-10.29
106.948,2.28,2.41,-10.99
106.958,3.05,2.6,-11.33
106.968,3.86,2.93,-10.86
106.978,4.56,3.45,-9.71
106.988,5.3,3.67,-7.91
106.998,5.35,3.95,-4.01
107.008,5.29,4.92,-1.58
107.018,5.05,5.83,0.21
107.028,4.37,6.57,1.84
107.039,3.85,7.3,2.86
107.049,4.27,8.63,3.95
107.059,5.59,9.9,3.53
107.069,6.72,10.63,2.29
107.079,7.44,10.6,1.96
107.089,7.04,9.75,2.29
107.099,6.77,8.74,3.66
107.109,7.02,7.96,5.45
107.119,7.48,7.14,7.17
107.129,7.94,6.16,8.46
107.139,7.95,5.19,9.11
107.149,7.48,4.2,9.03
107.159,6.73,3.06,8.11
107.17,5.84,1.55,6.99
107.18,4.88,0.07,6.16
107.19,4.0,-1.11,5.51
107.2,3.15,-2.08,4.91
107.21,2.45,-3.04,4.37
107.22,1.87,-4.13,4.26
107.23,1.31,-5.2,4.57
107.24,0.61,-6.14,4.87
107.25,-0.32,-6.77,4.95
