timestamp,ax,ay,az
137.204,1.12,4.01,-2.98
137.214,-0.55,4.02,-3.22
137.224,-1.64,4.36,-3.19
137.234,-2.73,5.01,-3.17
137.244,-3.79,5.83,-3.2
137.254,-4.88,6.77,-3.05
137.264,-5.91,7.41,-2.84
137.274,-6.74,7.91,-2.41
137.284,-7.27,8.44,-1.66
137.294,-7.45,8.92,-0.97
137.304,-6.8,9.14,-0.13
137.314,-5.77,8.98,1.16
137.325,-4.37,8.45,2.7
137.335,-3.0,7.54,4.03
137.345,-2.09,6.14,4.99
137.355,-1.7,4.49,5.62
137.365,-1.72,2.74,5.96
137.375,-1.59,1.03,6.05
137.385,-2.1,-0.71,5.78
137.395,-2.36,-2.14,5.23
137.405,-2.88,-3.37,4.4
137.415,-3.55,-4.43,3.48
137.425,-4.13,-5.26,2.41
137.435,-4.85,-6.06,1.31
137.445,-5.57,-6.92,0.28
137.455,-6.03,-7.7,-0.45
137.466,-6.18,-8.27,-0.81
137.476,-6.12,-8.69,-0.89
137.486,-5.96,-9.07,-0.88
137.496,-5.75,-9.46,-0.87
137.506,-5.49,-9.81,-0.8
137.516,-5.1,-10.02,-0.71
137.526,-4.57,-10.15,-0.66
137.536,-3.91,-10.35,-0.74
137.546,-3.14,-10.49,-0.98
137.556,-2.4,-10.45,-1.45
137.566,-2.0,-10.28,-2.11
137.577,-1.64,-10.0,-2.56
137.587,-1.29,-9.35,-2.75
137.597,-0.71,-8.63,-2.88
137.607,0.15,-8.37,-2.61
137.617,1.57,-7.86,-1.35
137.627,4.01,-6.54,-0.0
137.637,6.83,-5.07,1.13
137.647,9.11,-3.25,2.33
137.658,11.03,-1.27,2.81
137.667,12.6,0.12,2.6
137.677,12.94,1.75,2.24
137.687,12.13,3.02,1.73
137.697,10.99,3.47,1.38
137.707,9.32,3.82,1.61
137.718,7.36,4.0,1.89
137.728,5.61,3.95,1.89
137.738,3.89,4.05,1.6
137.748,2.65,4.24,0.83
137.758,2.21,4.4,-0.41
137.768,2.18,4.67,-1.71
137.778,2.6,5.07,-2.91
137.788,3.33,5.42,-4.1
137.798,3.89,5.43,-4.97
137.808,3.67,5.11,-4.94
137.818,2.92,4.45,-3.65
137.829,2.31,4.1,-1.62
137.839,2.15,4.0,0.83
137.849,2.31,4.6,3.14
137.859,2.86,5.49,4.25
137.869,3.71,6.31,3.81
137.879,3.96,6.85,2.52
137.889,3.62,7.2,1.08
137.899,3.55,7.46,-0.07
137.909,3.8,7.63,-0.49
137.919,4.01,7.67,0.11
137.929,4.08,7.47,1.39
137.939,4.2,7.42,2.78
137.949,4.26,7.18,4.19
137.96,4.09,6.71,5.34
137.97,3.68,6.25,5.94
137.98,3.51,5.54,5.76
137.99,3.08,4.52,5.0
138.0,2.25,3.54,3.73
138.01,1.24,2.51,2.37
138.02,0.18,1.63,1.35
138.03,-0.67,0.96,0.81
138.04,-1.17,0.36,0.71
138.05,-1.48,-0.17,0.89
138.06,-1.71,-0.67,1.23
138.07,-1.96,-1.25,1.74
138.08,-2.25,-1.78,2.32
138.091,-2.52,-2.14,2.6
138.101,-2.93,-2.76,2.56
138.111,-3.61,-3.22,2.49
138.121,-4.3,-3.71,2.14
138.131,-4.56,-4.23,1.48
138.141,-5.11,-4.68,0.65
138.151,-5.7,-5.25,-0.34
138.161,-6.21,-5.78,-1.29
138.171,-6.79,-6.14,-2.08
138.181,-7.14,-6.34,-2.87
138.191,-7.28,-6.7,-3.69
138.201,-7.64,-7.15,-4.4
138.211,-8.15,-7.44,-5.09
138.222,-8.93,-7.58,-5.7
138.232,-9.5,-7.51,-6.15
138.242,-9.54,-7.43,-6.44
138.252,-8.38,-7.41,-6.34
138.262,-6.38,-7.25,-5.5
138.272,-4.68,-7.09,-4.25
138.282,-3.68,-7.04,-3.19
138.292,-3.06,-7.01,-2.67
138.302,-2.34,-7.45,-2.56
138.312,-2.02,-8.02,-2.14
138.322,-1.17,-8.75,-1.22
138.332,1.92,-9.01,0.17
138.343,5.96,-7.75,2.18
138.353,10.21,-6.03,4.14
138.363,13.13,-4.65,5.71
138.374,13.67,-3.57,6.48
138.383,13.02,-2.67,6.1
138.393,12.37,-2.42,5.26
138.403,11.62,-2.61,4.79
138.413,10.88,-2.65,4.96
138.423,10.14,-2.3,5.2
138.433,9.55,-2.1,4.86
138.443,9.3,-1.71,4.14
138.453,8.97,-0.7,3.08
138.463,8.79,0.2,2.11
138.474,8.65,0.85,1.65
138.484,8.39,1.44,1.58
138.494,8.2,1.81,1.79
138.504,8.4,2.0,2.39
138.514,8.48,2.25,3.5
138.524,8.3,2.48,4.53
138.534,8.04,2.74,5.14
138.544,7.69,2.96,5.53
138.554,6.99,2.96,5.66
138.564,6.24,3.04,5.53
138.574,5.19,3.3,5.08
138.584,4.22,3.75,4.29
138.594,3.43,4.22,3.62
138.605,2.66,4.59,3.03
138.615,2.17,4.86,2.29
138.625,1.63,5.15,1.69
138.635,0.5,5.5,1.33
138.645,-0.23,5.95,0.87
138.655,-0.23,6.23,0.6
138.665,-0.36,6.58,0.76
138.675,-0.58,7.05,1.22
138.685,-0.65,7.22,1.96
138.695,-0.64,7.35,2.58
138.705,-0.72,7.18,2.95
138.715,-1.34,6.88,3.22
138.725,-2.31,6.48,3.43
138.736,-3.25,6.18,3.4
138.746,-4.11,5.6,3.21
138.756,-4.82,5.03,2.72
138.766,-5.04,4.16,2.03
138.776,-5.01,3.19,1.43
138.786,-4.38,2.08,1.15
138.796,-3.22,0.9,1.36
138.806,-2.27,-0.17,1.64
138.816,-1.92,-1.24,1.33
138.826,-2.2,-2.28,0.57
138.836,-2.74,-3.14,-0.14
138.846,-3.35,-3.81,-0.71
138.857,-3.96,-4.42,-1.14
138.867,-4.46,-5.1,-1.56
138.877,-4.74,-4.91,-1.46
138.887,-4.81,-5.17,-1.65
138.897,-4.74,-5.66,-1.91
138.908,-4.4,-5.81,-1.84
138.917,-4.34,-5.93,-1.6
138.927,-4.34,-6.13,-1.52
138.937,-4.3,-6.29,-1.72
138.947,-4.26,-6.36,-2.05
138.957,-4.13,-6.52,-2.25
138.967,-3.98,-6.55,-2.36
138.977,-3.58,-6.25,-2.86
138.988,-2.8,-5.62,-3.88
138.998,-1.63,-5.16,-5.04
139.008,0.41,-5.16,-5.49
139.018,3.0,-4.86,-4.46
139.028,4.22,-4.34,-2.29
139.038,3.89,-4.23,0.11
139.048,3.53,-4.51,2.08
139.058,4.13,-4.97,4.18
139.068,5.36,-5.05,6.55
139.078,6.65,-4.68,8.36
139.088,7.62,-3.88,9.19
139.098,8.22,-3.47,8.87
139.108,8.45,-2.83,7.31
139.119,8.26,-1.84,5.22
139.129,8.18,-1.01,3.37
139.139,8.11,-0.36,1.91
139.149,7.58,-0.1,0.75
139.159,6.24,-0.33,-0.05
139.169,4.64,-0.75,-0.5
139.179,3.22,-1.09,-0.9
139.189,1.82,-1.34,-1.41
139.199,0.35,-1.62,-2.09
139.209,-0.71,-2.18,-2.71
139.219,-1.42,-2.76,-3.18
139.229,-2.37,-3.1,-4.0
139.239,-3.44,-3.52,-5.36
139.25,-4.6,-4.0,-6.93
139.26,-5.8,-4.39,-8.24
139.27,-6.41,-4.66,-9.3
139.28,-6.01,-4.74,-10.03
139.29,-4.31,-4.53,-10.05
139.3,-1.45,-3.96,-9.13
139.31,2.14,-3.23,-6.54
139.32,5.95,-2.22,-3.06
139.33,8.32,-0.94,-0.82
139.34,10.78,-0.2,3.1
139.35,12.29,0.73,5.78
139.36,12.74,1.87,6.86
139.371,11.68,2.41,6.25
139.381,9.79,2.54,4.78
139.391,8.55,2.98,3.12
