timestamp,ax,ay,az
356.196,-14.75,-4.0,3.08
356.206,-10.32,-1.15,2.85
356.216,-3.6,2.47,2.17
356.227,5.26,5.65,0.69
356.237,15.24,8.57,-0.15
356.247,23.5,11.59,2.93
356.257,27.6,14.02,9.81
356.267,27.39,15.07,16.14
356.277,23.18,13.86,18.12
356.287,18.96,11.45,16.19
356.297,16.85,10.02,12.03
356.307,15.96,8.58,6.52
356.317,14.6,6.68,1.35
356.327,12.17,4.39,-2.08
356.337,8.89,1.74,-3.49
356.348,5.06,-1.05,-3.18
356.358,1.8,-3.84,-2.31
356.368,-0.41,-6.48,-1.84
356.378,-1.92,-8.6,-2.02
356.388,-3.2,-10.32,-2.34
356.398,-4.34,-11.81,-2.47
356.408,-5.43,-13.18,-2.53
356.418,-6.8,-14.35,-2.4
356.428,-8.25,-15.23,-2.05
356.438,-9.48,-15.85,-1.51
356.448,-10.22,-16.26,-0.76
356.458,-10.39,-16.73,0.23
356.468,-10.59,-16.94,1.41
356.478,-11.22,-16.23,2.38
356.489,-10.86,-15.7,2.85
356.499,-8.44,-15.32,3.02
356.509,-1.14,-13.87,2.18
356.519,10.73,-10.51,-0.42
356.529,26.57,-3.02,-3.53
356.539,38.59,6.41,-5.93
356.549,37.1,10.27,-4.18
356.559,25.64,9.58,2.07
356.569,13.86,8.12,6.93
356.579,6.55,6.96,8.59
356.589,4.02,6.32,6.9
356.599,3.98,6.95,3.32
356.61,4.82,8.18,-0.06
356.62,4.9,8.77,-0.88
356.63,4.28,8.46,0.77
356.64,1.89,7.68,3.64
356.65,-0.65,6.29,5.18
356.66,-2.33,4.42,5.59
356.67,-3.82,2.27,6.24
356.68,-5.45,-0.06,6.95
356.69,-7.22,-2.26,7.74
356.7,-8.89,-4.2,8.23
356.71,-10.88,-6.07,8.1
356.72,-13.49,-7.83,7.03
356.73,-16.54,-9.02,5.25
356.741,-19.81,-9.28,3.58
356.751,-21.43,-8.78,1.77
356.761,-21.76,-7.59,0.77
356.771,-20.17,-5.78,0.77
356.781,-12.39,-4.02,0.41
356.791,4.51,-1.32,-1.41
356.801,26.13,5.43,-2.01
356.811,41.86,13.28,4.56
356.821,42.22,15.16,14.69
356.831,28.79,10.81,20.12
356.841,14.57,5.0,18.87
356.851,6.79,1.35,15.52
356.862,3.94,0.46,10.25
356.872,4.02,0.89,4.39
356.882,4.82,1.38,-0.45
356.892,5.42,1.29,-4.74
356.902,4.58,0.42,-7.43
356.912,2.73,-1.1,-7.57
356.922,0.78,-2.88,-6.07
356.932,-0.86,-4.46,-4.26
356.942,-2.05,-5.88,-2.71
356.952,-3.08,-7.32,-1.82
356.962,-4.29,-8.61,-1.44
356.972,-5.69,-9.82,-1.27
356.982,-7.5,-10.74,-1.22
356.993,-9.47,-11.11,-0.93
357.003,-11.34,-11.12,-0.48
357.013,-13.14,-10.82,-0.06
357.023,-14.79,-10.78,0.03
357.033,-13.98,-10.81,-0.53
357.043,-7.84,-10.65,-1.77
357.053,3.39,-8.86,-2.58
357.063,16.94,-4.81,-1.2
357.074,31.18,1.16,3.97
357.084,38.86,5.57,11.5
357.093,33.56,5.12,16.4
357.104,22.34,1.87,16.34
357.113,12.88,-1.63,14.42
357.124,7.54,-4.38,11.51
357.134,5.56,-5.91,7.18
357.144,4.94,-6.63,2.36
357.154,4.15,-7.07,-2.03
357.164,2.63,-7.57,-5.96
357.174,0.37,-8.45,-8.4
357.184,-2.38,-9.73,-9.11
357.194,-4.86,-11.3,-8.29
357.204,-6.83,-12.62,-7.34
357.214,-8.2,-13.77,-7.12
357.224,-9.17,-14.47,-6.99
357.234,-9.78,-14.79,-7.09
357.244,-9.59,-14.69,-7.39
357.254,-7.79,-14.51,-7.86
357.265,-4.89,-14.22,-8.01
357.275,-1.19,-13.12,-8.27
357.285,2.38,-11.27,-8.72
357.295,6.01,-8.53,-8.39
357.305,9.85,-4.76,-6.49
357.315,15.64,0.13,-3.34
357.326,23.38,6.1,0.34
357.335,28.6,10.88,3.78
357.345,27.57,12.15,5.95
357.355,21.2,10.58,6.57
357.365,13.31,8.92,6.16
357.376,6.81,7.87,4.43
357.386,2.05,7.12,1.78
357.396,-0.75,6.87,-0.23
357.406,-1.58,6.99,-1.06
357.416,-1.76,7.13,-0.83
357.426,-1.79,7.16,-0.24
357.436,-2.13,7.18,0.18
357.446,-3.21,7.04,0.57
357.456,-4.71,6.88,0.89
357.466,-6.06,7.02,1.18
357.476,-6.67,7.13,1.63
357.486,-6.94,7.25,3.01
357.496,-7.2,7.25,5.35
357.507,-6.97,6.76,7.96
357.517,-6.5,6.25,10.41
357.527,-5.91,6.15,12.38
357.537,-4.65,6.22,13.58
357.547,-2.37,6.41,14.31
357.557,0.24,7.04,14.84
357.567,1.8,7.53,15.33
357.577,2.6,7.43,15.16
357.587,2.7,6.61,14.32
357.597,2.01,5.69,13.31
357.607,1.3,4.96,12.15
357.617,0.9,4.55,10.9
357.627,0.15,4.34,9.95
357.638,-0.57,4.37,9.0
357.648,-0.35,4.65,8.08
357.658,0.93,4.95,7.0
357.668,2.31,5.53,6.0
357.678,3.21,6.43,5.11
357.688,4.08,7.27,3.86
357.698,4.94,8.15,2.15
357.708,5.07,9.01,0.43
357.718,4.93,9.85,-0.77
357.728,4.52,10.52,-1.17
357.738,3.56,10.26,-0.67
357.748,3.06,9.83,0.99
357.758,3.65,10.56,2.94
357.769,4.57,12.63,4.59
357.779,4.93,14.31,5.16
357.789,6.44,14.63,3.96
357.799,7.11,14.11,2.64
357.809,6.07,12.39,2.23
357.819,5.25,9.3,2.15
357.829,5.12,5.31,2.2
357.839,5.47,1.47,2.49
357.849,6.13,-1.28,3.33
357.859,7.92,-2.85,4.22
357.869,9.88,-4.11,3.6
357.879,9.1,-5.25,1.58
357.89,5.96,-6.12,-0.01
357.9,4.12,-6.98,-1.28
357.91,3.28,-8.21,-2.81
357.92,2.36,-9.39,-3.36
357.93,0.46,-10.19,-2.83
357.94,-1.93,-10.43,-1.01
357.95,-3.25,-9.73,0.85
357.96,-1.99,-8.7,1.84
357.97,0.7,-7.64,2.82
357.98,3.05,-6.21,5.89
357.99,3.56,-4.23,6.54
358.0,2.83,-3.28,7.08
358.01,1.61,-2.67,6.89
358.021,0.79,-2.4,6.29
358.031,1.26,-1.65,6.23
358.041,2.08,-1.48,6.73
358.051,3.1,-2.04,7.13
358.061,2.92,-3.32,6.85
358.071,2.26,-4.95,6.21
358.081,1.49,-6.41,5.85
358.091,0.41,-7.97,5.99
358.101,-0.58,-9.39,6.48
358.111,-0.95,-10.15,6.74
358.121,-1.33,-10.5,7.32
358.131,-3.12,-12.52,7.35
358.141,-3.59,-13.7,7.04
358.152,-3.63,-13.53,7.41
358.162,-3.43,-13.12,7.89
358.172,-2.81,-12.92,8.18
358.182,-1.98,-12.71,8.36
358.192,-1.27,-12.57,8.02
358.202,-0.65,-12.71,7.61
358.212,0.04,-12.72,7.31
358.222,0.65,-12.74,6.78
358.232,2.03,-13.09,5.9
358.242,4.94,-13.32,5.04
358.252,11.09,-13.03,5.15
358.263,16.78,-11.72,1.77
358.273,24.25,-9.26,-0.89
358.283,29.0,-6.74,-3.23
358.293,28.42,-4.39,-4.22
358.303,24.23,-2.76,-1.51
358.313,20.83,-1.66,3.23
358.324,19.99,-0.56,6.5
358.333,21.1,0.6,7.4
358.343,21.61,0.83,6.3
358.353,19.41,0.07,3.55
358.363,15.35,-1.29,-0.47
358.373,10.6,-2.44,-4.97
358.383,5.35,-2.92,-8.31
358.393,0.84,-2.38,-10.22
358.404,-2.24,-1.18,-11.43
358.414,-3.78,0.39,-11.83
358.424,-3.74,2.19,-12.24
358.434,-2.44,3.74,-12.46
358.444,-0.54,4.83,-11.61
358.454,0.96,5.91,-9.87
358.464,2.38,6.57,-7.99
358.474,3.46,6.77,-6.33
358.484,3.79,6.81,-4.62
358.494,3.46,6.4,-2.82
358.504,2.88,6.04,-1.24
358.514,2.18,5.41,-0.03
358.524,1.92,4.91,0.92
358.535,1.91,4.51,1.55
358.545,1.84,4.19,1.89
358.555,1.56,4.24,2.02
358.565,1.25,4.37,1.95
358.575,0.47,4.05,2.12
358.585,-0.61,3.45,2.14
358.595,-1.55,3.09,1.99
358.605,-2.08,3.05,2.01
358.615,-2.17,3.26,2.12
358.625,-1.75,3.52,2.24
358.635,-0.45,3.89,2.39
358.645,0.86,4.18,2.49
358.656,1.94,4.19,2.42
358.666,2.85,4.07,2.11
358.676,3.27,3.94,1.6
358.686,3.14,3.62,0.93
358.696,2.89,3.0,0.27
358.706,2.78,2.32,-0.23
358.716,2.66,1.82,-0.54
358.726,2.57,1.35,-0.81
358.736,2.51,0.69,-1.02
358.746,2.24,0.01,-1.05
358.756,1.77,-0.57,-1.09
358.766,1.37,-0.89,-1.38
358.776,1.26,-1.06,-2.05
358.786,1.51,-1.19,-3.16
358.797,1.83,-1.49,-4.36
358.807,2.03,-1.75,-5.61
358.817,1.93,-1.64,-6.94
358.827,1.23,-0.82,-8.62
358.837,1.27,-0.01,-10.07
358.847,2.85,1.51,-11.07
358.857,4.72,2.98,-10.82
358.867,6.74,4.09,-9.4
358.877,8.15,5.07,-7.71
358.887,8.93,5.8,-5.81
358.897,8.5,5.53,-3.65
358.907,7.26,4.84,-1.79
358.918,5.96,4.81,-0.42
358.928,3.4,3.28,0.49
358.938,1.27,2.36,1.0
358.948,-0.69,1.51,1.62
358.958,-1.97,0.67,2.09
