timestamp,ax,ay,az
97.814,1.47,0.81,-0.35
97.824,1.57,0.74,-0.19
97.835,1.52,0.56,-0.14
97.844,1.36,0.28,-0.17
97.855,1.17,0.06,-0.2
97.865,0.97,-0.14,-0.29
97.875,0.73,-0.29,-0.48
97.885,0.5,-0.45,-0.72
97.895,0.39,-0.59,-0.88
97.905,0.37,-0.64,-0.91
97.915,0.4,-0.65,-0.89
97.925,0.54,-0.61,-0.73
97.935,0.72,-0.67,-0.55
97.945,0.83,-0.79,-0.48
97.955,0.88,-0.91,-0.39
97.965,0.88,-1.04,-0.3
97.976,0.88,-1.17,-0.27
97.986,0.9,-1.21,-0.34
97.996,0.99,-1.12,-0.55
98.006,1.07,-0.94,-0.74
98.016,1.36,-0.73,-0.89
98.026,1.59,-0.54,-0.99
98.036,1.83,-0.38,-0.99
98.046,2.14,-0.16,-0.98
98.056,2.34,-0.03,-0.92
98.066,2.53,0.11,-0.86
98.076,2.68,0.29,-0.83
98.086,2.69,0.42,-0.81
98.097,2.69,0.5,-0.88
98.106,2.65,0.55,-0.97
98.117,2.68,0.61,-0.92
98.127,2.81,0.64,-0.85
98.137,2.88,0.73,-0.8
98.147,2.85,0.82,-0.8
98.157,2.87,0.87,-0.84
98.167,2.92,0.91,-0.74
98.177,2.94,0.92,-0.53
98.187,2.9,0.89,-0.22
98.197,2.87,0.75,0.07
98.207,2.79,0.57,0.26
98.218,2.64,0.39,0.31
98.227,2.44,0.19,0.2
98.238,2.25,0.0,0.08
98.248,1.99,-0.23,-0.01
98.258,1.75,-0.4,-0.12
98.268,1.54,-0.5,-0.15
98.278,1.38,-0.56,-0.14
98.288,1.26,-0.64,-0.23
98.298,1.11,-0.75,-0.41
98.308,0.98,-0.85,-0.58
98.318,0.96,-0.88,-0.67
98.328,0.93,-0.87,-0.63
98.338,0.91,-0.98,-0.55
98.348,0.82,-1.05,-0.58
98.359,0.71,-1.13,-0.66
98.369,0.6,-1.16,-0.69
98.379,0.51,-1.12,-0.73
98.389,0.49,-1.06,-0.66
98.399,0.51,-0.99,-0.57
98.409,0.48,-0.92,-0.5
98.419,0.46,-0.86,-0.43
98.429,0.46,-0.76,-0.32
98.439,0.47,-0.65,-0.16
98.449,0.49,-0.61,0.04
98.46,0.55,-0.55,0.1
98.469,0.5,-0.49,0.09
98.48,0.34,-0.5,-0.05
98.49,0.14,-0.43,-0.26
98.5,-0.09,-0.34,-0.25
98.51,-0.19,-0.24,-0.07
98.52,-0.19,-0.12,0.28
98.53,-0.24,0.01,0.62
98.54,-0.21,0.08,0.8
98.55,-0.19,0.13,0.78
98.56,-0.15,0.25,0.62
98.57,-0.18,0.39,0.51
98.58,-0.14,0.47,0.48
98.59,0.01,0.63,0.35
98.601,-0.02,0.77,0.17
98.611,-0.05,0.81,0.06
98.621,0.19,0.77,0.21
98.631,0.29,0.53,0.49
98.641,0.23,0.22,0.74
98.651,0.09,-0.21,0.84
98.661,-0.28,-0.69,0.8
98.671,-0.69,-1.11,0.6
98.681,-1.17,-1.48,0.39
98.691,-1.42,-1.7,0.26
98.701,-1.53,-1.83,0.2
98.711,-1.53,-1.8,0.1
98.721,-1.46,-1.6,-0.1
98.731,-1.46,-1.43,-0.45
98.742,-1.42,-1.28,-0.83
98.751,-1.41,-1.11,-1.13
98.762,-1.33,-0.9,-1.26
98.772,-1.39,-0.73,-1.3
98.782,-1.49,-0.58,-1.17
98.792,-1.69,-0.51,-0.92
98.802,-1.82,-0.39,-0.53
98.812,-1.96,-0.28,-0.1
98.822,-2.09,-0.13,0.47
98.832,-2.11,0.14,1.1
98.842,-2.01,0.44,1.67
98.852,-1.8,0.81,2.25
98.863,-1.47,1.04,2.68
98.873,-1.14,1.26,2.79
98.883,-1.04,1.46,2.49
98.893,-1.14,1.53,1.82
98.903,-1.36,1.53,1.08
98.913,-1.48,1.58,0.52
98.923,-1.52,1.75,0.15
98.933,-1.6,1.81,-0.07
98.943,-1.7,1.79,-0.26
