timestamp,ax,ay,az
195.102,-4.69,-0.91,1.45
195.112,-5.28,-1.27,1.49
195.122,-5.69,-1.55,1.46
195.132,-6.01,-1.7,1.3
195.142,-6.24,-1.77,1.05
195.152,-6.28,-1.71,0.63
195.162,-6.27,-1.51,0.01
195.172,-6.27,-1.07,-0.63
195.182,-6.26,-0.16,-1.27
195.192,-6.08,1.01,-1.55
195.205,-5.07,2.35,-1.25
195.213,-3.27,3.65,-0.32
195.223,-1.11,4.74,0.86
195.233,1.08,5.59,1.86
195.243,3.02,6.02,2.37
195.253,4.09,6.12,2.3
195.263,4.37,5.85,1.62
195.273,4.16,5.3,0.65
195.283,3.82,4.74,-0.06
195.293,3.54,3.99,-0.22
195.303,3.39,3.24,0.04
195.313,3.37,2.58,0.52
195.323,3.16,1.71,0.94
195.334,2.82,0.66,1.15
195.343,2.42,-0.37,1.37
195.354,2.0,-1.3,1.49
195.364,1.63,-2.1,1.51
195.374,1.35,-2.71,1.43
195.384,1.16,-3.28,1.29
195.394,1.1,-3.75,1.09
195.404,1.06,-4.04,0.81
195.414,0.94,-4.27,0.5
195.424,0.9,-4.45,0.24
195.434,0.85,-4.45,-0.01
195.444,0.84,-4.3,-0.17
195.454,0.98,-4.05,-0.14
195.464,1.38,-3.86,0.11
195.475,2.2,-3.46,0.51
195.485,2.68,-2.9,1.41
195.495,3.21,-2.54,2.43
195.505,3.82,-2.29,3.37
195.515,4.27,-1.92,4.32
195.525,4.56,-1.54,5.1
195.535,4.56,-1.09,5.72
195.545,4.45,-0.55,6.16
195.555,4.37,-0.1,6.27
195.565,4.21,0.31,6.0
195.575,3.87,0.7,5.73
195.585,3.39,1.08,5.46
195.596,3.0,1.44,5.15
195.606,2.51,1.93,4.69
195.616,1.72,2.65,3.98
195.626,0.87,3.66,3.08
195.636,0.12,4.73,2.03
195.646,-0.48,5.62,1.03
195.656,-0.98,6.42,0.14
195.666,-1.69,7.1,-0.64
195.676,-2.71,7.54,-1.26
195.686,-3.55,7.66,-1.74
195.696,-4.25,7.56,-2.01
195.706,-4.51,7.13,-2.1
195.717,-4.61,6.35,-1.98
195.726,-4.52,5.35,-1.56
195.737,-3.81,4.23,-1.24
195.747,-3.43,3.1,-1.05
195.757,-3.17,2.06,-0.83
195.767,-2.92,0.88,-0.61
195.777,-2.92,-0.18,-0.29
195.787,-2.88,-0.9,-0.08
195.797,-2.77,-1.47,0.01
195.807,-2.71,-1.93,0.04
195.817,-2.73,-2.28,0.06
195.827,-2.76,-2.65,-0.07
195.837,-2.82,-2.95,-0.35
