timestamp,ax,ay,az
38.61,0.55,-3.19,2.0
38.62,0.37,-3.59,2.0
38.63,-0.07,-4.31,1.67
38.64,-0.88,-5.06,0.91
38.65,-1.72,-5.64,-0.24
38.66,-2.78,-5.94,-1.71
38.67,-4.14,-5.89,-3.42
38.68,-5.82,-5.8,-5.17
38.69,-7.91,-5.67,-6.59
38.7,-10.1,-5.35,-7.52
38.71,-10.82,-4.61,-7.84
38.721,-7.96,-2.99,-7.05
38.731,-1.89,-0.04,-5.45
38.741,5.57,4.01,-3.21
38.751,13.56,8.62,-0.78
38.761,20.75,13.23,0.6
38.771,26.33,16.39,0.17
38.781,28.93,17.33,-0.62
38.791,27.6,16.3,-0.14
38.801,23.01,13.4,1.24
38.811,17.39,9.43,2.29
38.821,12.05,5.67,2.37
38.831,8.28,2.7,1.64
38.841,6.0,0.58,0.67
38.852,4.6,-1.11,-0.21
38.862,3.47,-2.59,-0.98
38.872,2.26,-3.74,-1.56
38.882,1.16,-4.68,-1.92
38.892,0.31,-5.45,-2.27
38.902,-0.3,-6.12,-2.37
38.912,-0.9,-6.7,-2.02
38.922,-1.43,-7.26,-1.49
38.932,-1.85,-8.03,-0.96
38.942,-2.81,-9.22,-0.6
38.952,-5.54,-10.79,-0.63
38.962,-10.23,-12.31,-0.82
38.972,-14.8,-13.41,-0.83
38.983,-17.03,-13.9,-0.63
38.993,-15.98,-13.31,-0.52
39.003,-12.43,-11.14,-0.91
39.013,-6.92,-8.27,-1.62
39.023,0.2,-4.2,-1.51
39.033,8.75,1.18,0.05
39.043,17.49,6.36,2.56
39.053,23.73,9.13,5.16
39.064,25.69,9.41,7.04
39.073,23.16,8.04,7.8
39.083,17.72,5.61,7.32
39.093,11.65,2.92,5.84
39.104,6.43,0.9,4.17
39.113,3.05,-0.49,2.83
39.124,1.37,-1.62,1.74
39.134,0.74,-2.57,0.67
39.144,0.4,-3.25,-0.13
39.154,-0.05,-3.98,-0.64
39.164,-0.71,-4.9,-1.17
39.174,-1.53,-5.85,-1.62
39.184,-2.34,-6.84,-1.82
39.194,-3.3,-7.93,-1.67
39.204,-4.72,-9.12,-1.29
39.214,-6.74,-10.39,-0.86
39.224,-9.14,-11.62,-0.62
39.235,-11.52,-12.68,-0.47
39.245,-13.32,-13.52,-0.22
39.255,-14.5,-14.02,0.01
39.265,-14.76,-14.18,-0.1
39.275,-13.32,-14.01,-0.38
39.285,-10.49,-13.3,-0.89
39.295,-7.08,-12.37,-1.33
39.305,-3.81,-11.41,-1.51
39.315,-0.8,-10.44,-1.25
39.325,1.85,-9.41,-0.3
39.335,4.92,-8.16,1.79
39.345,8.78,-6.11,4.8
39.355,12.99,-3.59,7.61
39.366,16.04,-1.67,9.08
39.376,17.7,-0.32,8.82
39.386,18.51,0.91,6.77
39.396,19.24,2.89,3.55
39.406,20.46,4.97,0.69
39.416,22.15,6.3,-0.93
39.426,22.2,6.5,-1.23
39.436,19.21,5.46,-1.06
39.446,13.83,3.56,-1.04
39.456,7.92,1.64,-1.43
39.466,3.0,-0.09,-2.09
39.476,-0.4,-1.36,-2.9
39.486,-2.53,-2.05,-3.81
39.497,-3.65,-2.38,-4.39
39.507,-4.14,-2.59,-4.48
39.517,-4.21,-2.77,-4.26
39.527,-4.06,-3.08,-3.85
39.537,-3.84,-3.43,-3.35
39.547,-3.74,-3.69,-2.99
39.557,-3.47,-3.32,-2.84
39.567,-2.63,-2.27,-2.7
39.577,-0.97,-1.28,-1.76
39.587,1.57,0.03,0.41
39.597,4.68,1.97,3.95
39.607,7.93,4.11,7.51
39.617,10.47,6.28,9.39
39.628,11.96,8.23,9.32
39.638,12.11,9.59,7.4
39.648,11.27,10.2,4.54
39.658,9.67,9.8,1.8
39.668,7.33,8.82,-0.22
39.678,4.89,7.7,-1.29
39.688,2.94,7.02,-1.48
39.698,1.98,7.05,-1.01
39.708,1.67,7.17,-0.35
39.718,1.36,7.46,0.29
39.728,1.2,7.75,0.77
39.738,1.1,8.04,0.79
39.748,0.78,8.41,-0.1
39.759,0.1,8.83,-1.49
39.769,-0.8,9.44,-3.16
39.779,-1.53,9.7,-4.66
39.789,-2.07,9.74,-5.43
39.799,-2.43,9.86,-5.62
39.809,-2.65,9.67,-5.44
39.819,-2.57,9.15,-5.03
39.829,-2.51,8.54,-4.63
39.839,-2.63,7.4,-4.16
39.849,-2.99,5.8,-3.58
39.859,-3.56,4.03,-3.09
39.869,-4.24,2.13,-2.91
39.88,-5.2,0.43,-3.17
39.89,-6.16,-0.97,-3.81
39.9,-6.74,-2.36,-4.1
39.91,-7.17,-3.55,-3.59
39.92,-7.36,-4.53,-2.58
