timestamp,ax,ay,az
41.94,0.21,0.47,-0.19
41.95,0.09,0.35,-0.33
41.96,-0.13,0.08,-0.47
41.97,0.5,1.1,-0.5
41.98,0.71,1.19,-0.43
41.99,0.37,0.52,-0.41
42.001,0.13,0.25,-0.43
42.01,0.08,0.29,-0.3
42.021,-0.01,0.12,-0.03
42.031,-0.28,-0.17,0.16
42.041,-0.57,-0.4,0.24
42.051,-0.76,-0.51,0.23
42.061,-1.0,-0.56,0.17
42.071,-1.19,-0.55,0.02
42.081,-1.27,-0.52,-0.04
42.091,-1.26,-0.4,-0.01
42.101,-1.22,-0.28,0.05
42.111,-1.13,-0.14,0.1
42.121,-1.06,-0.03,0.1
42.131,-1.0,0.08,0.14
42.142,-0.9,0.18,0.21
42.152,-0.87,0.29,0.26
42.162,-0.8,0.41,0.31
42.172,-0.7,0.51,0.49
42.182,-0.63,0.53,0.68
42.192,-0.61,0.5,0.96
42.202,-0.55,0.47,1.17
42.212,-0.5,0.4,1.34
42.222,-0.54,0.26,1.52
42.232,-0.61,0.11,1.62
42.242,-0.85,-0.01,1.58
42.252,-1.17,-0.07,1.52
42.263,-1.5,-0.05,1.42
42.273,-1.68,0.1,1.34
42.283,-1.83,0.2,1.2
42.293,-1.91,0.28,1.09
42.303,-1.96,0.32,1.02
42.313,-1.91,0.36,0.83
42.323,-1.82,0.51,0.76
42.333,-1.67,0.71,0.75
42.343,-1.37,0.98,0.82
42.353,-0.99,1.26,0.98
42.363,-0.6,1.39,1.08
42.373,-0.27,1.49,1.07
42.383,0.02,1.53,1.07
42.393,0.19,1.56,0.99
42.404,0.33,1.64,0.78
42.414,0.39,1.79,0.53
42.424,0.29,1.86,0.18
42.434,0.06,1.75,-0.15
42.444,-0.24,1.53,-0.34
42.454,-0.55,1.28,-0.39
42.464,-0.79,0.93,-0.55
42.474,-1.08,0.76,-0.49
42.484,-1.31,0.53,-0.48
42.494,-1.49,0.32,-0.47
42.505,-1.63,0.25,-0.31
42.514,-1.69,0.21,-0.17
42.525,-1.68,0.24,-0.0
42.535,-1.63,0.31,0.13
42.545,-1.54,0.32,0.24
42.555,-1.44,0.33,0.38
42.565,-1.27,0.35,0.45
42.575,-1.13,0.39,0.52
42.585,-1.02,0.39,0.53
42.597,-0.98,0.35,0.48
42.605,-1.0,0.24,0.42
42.615,-0.97,0.14,0.35
42.625,-0.98,0.08,0.25
42.635,-1.1,-0.05,0.18
42.646,-1.25,-0.28,0.05
42.656,-1.38,-0.43,-0.02
42.666,-1.37,-0.46,-0.07
42.676,-1.21,-0.42,-0.08
42.686,-1.09,-0.43,-0.0
42.696,-0.97,-0.5,0.19
42.706,-0.86,-0.55,0.48
42.716,-0.76,-0.59,0.75
42.726,-0.73,-0.57,1.03
42.736,-0.67,-0.54,1.28
42.746,-0.65,-0.5,1.48
42.756,-0.79,-0.41,1.51
42.766,-0.9,-0.41,1.43
42.776,-0.9,-0.4,1.27
42.787,-0.94,-0.39,1.24
42.797,-0.81,-0.37,1.3
42.807,-0.59,-0.29,1.43
42.817,-0.33,-0.21,1.39
42.827,-0.15,-0.08,1.14
42.837,0.02,0.04,0.74
42.847,0.09,0.12,0.17
42.857,0.06,0.18,-0.39
42.867,0.17,0.21,-0.68
42.877,0.31,0.1,-0.71
42.888,0.46,0.16,-0.53
42.897,0.59,0.07,-0.34
42.908,0.56,-0.09,-0.17
42.918,0.46,-0.12,-0.07
42.928,0.33,-0.11,-0.05
42.938,0.28,-0.01,-0.05
42.948,0.27,0.07,-0.07
42.958,0.39,0.13,-0.06
42.968,0.6,0.26,-0.03
42.978,0.85,0.3,0.07
42.988,1.06,0.29,0.16
42.998,1.18,0.21,0.27
43.008,1.24,0.12,0.32
43.018,1.27,0.02,0.35
43.029,1.3,-0.06,0.35
43.039,1.32,-0.12,0.36
43.049,1.33,-0.14,0.37
43.059,1.34,-0.25,0.32
43.069,1.35,-0.37,0.24
43.079,1.38,-0.44,0.15
43.089,1.39,-0.46,-0.03
43.099,1.3,-0.49,-0.26
43.109,1.21,-0.57,-0.41
43.119,1.23,-0.65,-0.45
43.129,1.3,-0.65,-0.49
43.139,1.32,-0.67,-0.61
43.15,1.3,-0.75,-0.75
43.159,1.21,-0.87,-0.93
43.17,1.15,-1.01,-0.99
43.18,1.2,-1.08,-0.95
43.19,1.32,-1.09,-0.8
43.2,1.41,-1.05,-0.72
43.21,1.37,-1.03,-0.82
43.22,1.27,-1.0,-1.0
43.23,1.14,-0.94,-1.13
43.24,1.08,-0.83,-1.2
43.25,1.12,-0.66,-1.24
43.26,1.12,-0.39,-1.25
43.271,1.04,-0.23,-1.32
43.28,0.96,0.01,-1.34
43.291,0.95,0.3,-1.17
43.301,1.04,0.58,-0.74
43.311,1.17,0.76,-0.2
43.321,1.3,0.8,0.38
43.331,1.35,0.81,0.84
43.341,1.47,0.71,1.13
43.351,1.67,0.62,1.29
43.361,1.79,0.64,1.07
43.371,1.86,0.65,0.76
43.381,1.84,0.51,0.47
43.391,1.77,0.4,0.23
43.401,1.74,0.32,0.08
43.412,1.67,0.24,-0.1
43.422,1.61,0.17,-0.28
43.432,1.52,0.13,-0.42
43.442,1.49,0.09,-0.47
43.452,1.49,0.05,-0.39
43.462,1.5,-0.02,-0.25
43.472,1.45,-0.14,-0.13
43.482,1.39,-0.24,-0.04
43.492,1.27,-0.4,-0.05
43.502,1.17,-0.53,-0.15
43.512,0.96,-0.61,-0.26
43.522,0.71,-0.73,-0.44
43.533,0.55,-0.83,-0.62
43.543,0.41,-0.89,-0.7
43.553,0.28,-0.92,-0.76
43.563,0.2,-0.96,-0.8
43.573,0.2,-0.97,-0.8
43.583,0.2,-0.96,-0.75
43.593,0.18,-0.89,-0.66
43.603,0.27,-0.81,-0.49
43.613,0.51,-0.7,-0.21
43.623,0.76,-0.57,0.03
43.633,0.97,-0.54,0.22
43.643,1.25,-0.53,0.44
43.654,1.31,-0.55,0.63
43.663,1.21,-0.46,0.7
43.674,1.19,-0.75,0.51
43.684,0.99,-0.74,0.28
43.694,0.63,-0.68,0.05
43.704,0.33,-0.6,-0.34
43.714,0.02,-0.52,-0.6
43.724,-0.2,-0.48,-0.85
43.734,-0.4,-0.31,-1.02
43.744,-0.52,-0.12,-1.0
43.754,-0.41,0.09,-0.82
43.764,-0.28,0.29,-0.47
43.774,-0.16,0.48,-0.25
43.784,-0.02,0.71,-0.17
43.795,0.1,0.97,-0.11
43.805,0.22,1.17,-0.17
43.815,0.13,1.28,-0.05
43.825,0.06,1.36,0.16
43.835,0.1,1.33,0.52
43.845,0.17,1.18,0.99
43.855,0.35,0.88,1.36
43.865,0.41,0.42,1.55
43.875,0.25,0.0,1.36
43.885,-0.05,-0.29,0.85
43.895,-0.51,-0.46,0.15
43.905,-0.96,-0.61,-0.52
43.915,-1.31,-0.71,-0.99
43.925,-1.57,-0.73,-1.23
43.936,-1.83,-0.69,-1.35
43.946,-2.0,-0.65,-1.51
43.956,-2.03,-0.61,-1.53
43.966,-2.04,-0.49,-1.37
43.976,-1.98,-0.35,-1.16
43.986,-1.88,-0.16,-0.99
43.996,-1.76,0.06,-0.75
44.006,-1.59,0.18,-0.5
44.016,-1.53,0.28,-0.27
44.026,-1.38,0.37,0.03
44.036,-1.23,0.41,0.39
44.046,-1.11,0.36,0.79
44.057,-0.9,0.29,1.25
44.067,-0.71,0.18,1.63
44.077,-0.56,0.02,1.84
44.087,-0.44,-0.09,1.76
44.097,-0.43,-0.14,1.42
44.107,-0.51,-0.12,0.83
44.117,-0.65,-0.07,0.16
44.127,-0.78,0.0,-0.47
44.137,-0.87,0.09,-0.97
44.147,-1.01,0.21,-1.13
44.158,-1.25,0.27,-1.09
44.167,-1.46,0.23,-0.89
44.178,-1.65,0.22,-0.53
44.188,-1.71,0.37,-0.09
44.198,-1.69,0.55,0.41
44.208,-1.68,0.68,0.74
44.218,-1.68,0.82,0.92
44.228,-1.64,1.04,1.01
44.238,-1.53,1.24,1.06
44.248,-1.47,1.44,1.0
44.258,-1.48,1.6,0.67
44.268,-1.68,1.71,0.13
44.278,-1.98,1.75,-0.25
44.288,-1.99,1.72,-0.18
44.299,-1.68,1.56,0.42
44.309,-1.2,1.29,1.06
44.319,-0.93,0.95,1.26
44.329,-0.99,0.65,1.06
44.339,-1.19,0.46,0.53
44.349,-1.46,0.43,-0.12
44.359,-1.61,0.57,-0.58
44.369,-1.58,0.69,-0.58
44.379,-1.38,0.75,-0.23
44.389,-0.98,0.77,0.31
44.399,-0.53,0.7,0.83
44.409,-0.2,0.6,1.13
44.42,-0.03,0.43,1.2
44.429,0.05,0.27,1.17
44.44,0.06,0.12,1.08
44.45,0.01,-0.01,0.85
44.46,-0.18,-0.1,0.53
44.47,-0.36,-0.27,0.27
44.48,-0.56,-0.43,0.17
44.49,-0.76,-0.66,0.17
44.5,-0.89,-0.85,0.21
44.51,-0.99,-0.99,0.27
44.52,-1.05,-1.14,0.29
44.53,-1.1,-1.27,0.37
44.541,-1.1,-1.33,0.41
44.55,-1.05,-1.37,0.39
44.561,-1.01,-1.36,0.38
44.571,-0.98,-1.36,0.35
44.581,-0.94,-1.32,0.26
44.591,-0.85,-1.21,0.18
44.601,-0.82,-1.11,0.12
44.611,-0.83,-1.0,0.11
44.621,-0.81,-0.85,0.1
44.631,-0.8,-0.7,0.12
44.641,-0.8,-0.53,0.13
44.651,-0.78,-0.38,0.15
44.661,-0.81,-0.22,0.25
44.671,-0.83,-0.05,0.27
44.682,-0.83,0.04,0.25
44.692,-0.76,0.17,0.29
44.702,-0.67,0.34,0.31
44.712,-0.6,0.42,0.32
44.722,-0.49,0.57,0.35
44.732,-0.37,0.66,0.3
44.742,-0.18,0.79,0.24
