timestamp,ax,ay,az
18.292,1.63,4.52,5.37
18.302,-1.0,3.85,6.33
18.312,-3.61,3.52,5.77
18.322,-5.97,3.75,3.99
18.332,-7.78,4.6,2.21
18.342,-8.98,5.49,0.85
18.352,-9.42,6.27,0.28
18.363,-9.43,7.23,0.62
18.373,-9.26,8.19,1.88
18.383,-8.8,9.01,3.68
18.393,-8.34,9.64,5.48
18.403,-8.4,9.83,6.91
18.413,-8.86,9.6,8.21
18.423,-9.18,8.94,8.72
18.433,-8.84,7.88,8.89
18.443,-8.21,6.77,8.81
18.453,-7.21,5.24,8.83
18.463,-6.13,3.64,8.54
18.473,-5.39,2.09,7.92
18.484,-4.9,0.73,7.08
18.494,-4.43,-0.41,5.87
18.504,-3.96,-1.06,4.36
18.514,-4.03,-1.38,2.82
18.524,-4.24,-1.61,0.99
18.534,-4.29,-1.86,-0.77
18.544,-4.44,-2.21,-1.94
18.554,-4.44,-2.87,-2.35
18.564,-4.16,-3.69,-1.92
18.574,-3.67,-4.61,-0.7
18.584,-3.02,-5.63,0.79
18.594,-2.5,-6.43,1.98
18.604,-2.45,-6.95,2.61
18.614,-3.11,-7.22,2.57
18.625,-4.54,-7.56,1.94
18.635,-6.24,-8.2,0.86
18.645,-7.91,-8.81,-0.48
18.655,-9.24,-9.39,-2.01
18.665,-9.45,-10.12,-3.2
18.675,-8.25,-10.56,-3.34
18.685,-5.52,-10.62,-2.01
18.695,-1.0,-10.48,-0.01
18.706,4.95,-9.79,2.84
18.715,10.99,-7.31,6.04
18.725,16.08,-3.74,8.29
18.736,21.72,0.38,8.85
18.746,26.75,4.16,8.5
18.756,28.88,6.75,7.36
18.766,26.49,7.62,5.95
18.776,20.22,6.93,4.1
18.786,12.59,5.76,1.04
18.796,6.4,5.23,-2.52
18.806,2.98,5.34,-4.76
18.816,1.16,5.27,-5.3
18.826,0.04,5.26,-4.83
18.836,-0.72,5.47,-4.43
18.846,-1.27,5.57,-4.31
18.856,-1.78,5.7,-4.34
18.867,-1.67,5.98,-4.32
18.877,-0.93,6.23,-3.82
18.887,0.39,6.88,-3.25
18.897,1.4,7.25,-2.67
18.907,1.95,7.32,-2.43
18.917,2.32,7.51,-2.5
18.927,2.29,7.27,-2.35
18.937,1.43,6.47,-2.43
18.947,-0.05,5.55,-2.52
18.957,-1.39,4.56,-2.72
18.967,-2.32,3.7,-2.78
18.977,-2.73,2.85,-2.49
18.987,-2.43,2.28,-2.47
18.998,-2.05,1.91,-2.56
19.008,-1.94,1.16,-2.0
19.018,-1.89,0.68,-1.11
19.028,-1.9,0.63,0.41
19.038,-1.11,0.39,1.93
19.048,0.18,0.33,3.19
19.058,1.06,0.14,3.84
19.068,1.34,-0.38,3.95
19.078,0.85,-1.08,3.67
19.088,-0.04,-1.67,3.54
19.098,-0.82,-1.9,3.22
19.108,-0.49,-1.45,2.67
19.118,0.86,-1.07,2.78
19.128,2.21,-1.07,3.82
19.139,2.31,-1.28,4.54
19.149,1.69,-1.59,4.35
19.159,1.28,-1.55,3.95
19.169,1.22,-1.78,3.58
19.179,1.33,-2.13,2.68
19.189,1.56,-2.33,1.32
19.199,1.37,-2.44,0.18
19.209,0.35,-2.81,-0.6
19.219,-1.06,-3.32,-1.38
19.229,-2.14,-3.89,-1.67
19.239,-2.53,-4.47,-1.63
19.249,-2.69,-5.26,-1.45
19.259,-2.95,-5.89,-1.49
19.27,-3.75,-6.26,-2.23
19.28,-4.86,-6.65,-3.46
19.29,-6.13,-6.93,-4.77
19.3,-7.49,-7.22,-5.91
