time,ax,ay,az,atotal
1.422,0.01,-0.02,-0.05,0.05
1.432,-0.00,0.00,-0.05,0.05
1.442,-0.03,-0.00,-0.05,0.05
1.452,-0.00,-0.02,-0.05,0.05
1.462,-0.01,-0.00,-0.04,0.04
1.472,-0.01,-0.00,-0.05,0.05
1.482,-0.01,-0.01,-0.04,0.04
1.492,-0.01,-0.02,-0.05,0.05
1.502,-0.00,-0.00,-0.04,0.04
1.512,-0.00,0.00,-0.04,0.04
1.523,-0.01,-0.02,-0.03,0.04
1.532,-0.00,0.00,-0.05,0.05
1.543,-0.01,-0.01,-0.05,0.06
1.553,-0.01,0.01,-0.04,0.04
1.563,-0.01,-0.01,-0.05,0.06
1.573,0.01,-0.00,-0.05,0.05
1.583,-0.01,-0.01,-0.04,0.05
1.593,-0.00,-0.00,-0.05,0.05
1.603,0.01,-0.01,-0.05,0.05
1.613,-0.00,0.01,-0.05,0.05
1.623,-0.01,-0.02,-0.03,0.04
1.633,-0.01,-0.01,-0.04,0.04
1.643,-0.01,-0.01,-0.04,0.04
1.653,-0.01,-0.01,-0.05,0.05
1.664,0.00,0.00,-0.04,0.04
1.674,-0.01,-0.00,-0.05,0.05
1.684,-0.01,-0.00,-0.05,0.05
1.694,-0.01,-0.01,-0.03,0.04
1.704,-0.01,-0.00,-0.04,0.05
1.714,0.01,-0.00,-0.06,0.06
1.724,-0.00,-0.01,-0.05,0.05
1.734,-0.01,0.01,-0.06,0.06
1.744,-0.01,0.00,-0.05,0.05
1.754,-0.00,0.00,-0.05,0.05
1.764,-0.01,-0.01,-0.05,0.05
1.774,0.01,-0.01,-0.05,0.05
1.785,-0.02,0.00,-0.06,0.06
1.795,-0.01,-0.01,-0.04,0.04
1.805,-0.01,-0.01,-0.05,0.05
1.815,-0.00,-0.01,-0.04,0.04
1.825,-0.00,0.00,-0.04,0.04
1.835,-0.01,-0.01,-0.05,0.06
1.845,-0.01,-0.01,-0.04,0.05
1.855,-0.01,-0.01,-0.04,0.04
1.865,-0.01,-0.02,-0.04,0.05
1.875,-0.03,-0.01,-0.03,0.04
1.885,0.01,-0.00,-0.05,0.05
1.895,-0.00,-0.01,-0.05,0.05
1.906,-0.01,-0.00,-0.06,0.06
1.915,-0.00,0.00,-0.06,0.06
1.926,-0.01,-0.01,-0.06,0.06
1.936,-0.02,-0.01,-0.04,0.04
1.946,0.00,-0.02,-0.05,0.06
1.956,-0.00,0.01,-0.05,0.05
1.966,-0.00,-0.01,-0.05,0.05
1.976,-0.00,-0.01,-0.05,0.05
1.986,-0.00,-0.01,-0.04,0.04
1.996,-0.02,-0.01,-0.05,0.06
2.006,-0.02,0.01,-0.05,0.06
2.016,0.01,0.01,-0.04,0.05
2.026,0.00,-0.00,-0.05,0.05
2.037,0.00,-0.00,-0.04,0.04
2.047,-0.01,0.00,-0.05,0.05
2.057,-0.01,0.00,-0.05,0.05
2.067,-0.01,0.01,-0.05,0.06
2.077,-0.01,-0.01,-0.04,0.04
2.087,-0.01,-0.01,-0.03,0.04
2.097,-0.01,-0.01,-0.04,0.05
2.107,-0.01,0.01,-0.04,0.04
2.117,-0.00,0.00,-0.05,0.05
2.127,-0.01,-0.01,-0.05,0.05
2.137,-0.00,0.00,-0.06,0.06
2.148,-0.00,-0.01,-0.06,0.06
2.158,-0.00,-0.02,-0.04,0.05
2.168,-0.00,-0.01,-0.04,0.04
2.178,0.01,-0.00,-0.04,0.04
2.188,-0.00,-0.00,-0.04,0.04
2.198,-0.00,-0.02,-0.06,0.06
2.208,0.01,-0.01,-0.07,0.07
2.218,0.01,0.00,-0.05,0.05
2.228,-0.00,0.01,-0.03,0.03
2.238,-0.00,0.00,-0.04,0.04
2.248,-0.02,-0.01,-0.04,0.05
2.258,0.00,-0.01,-0.04,0.04
2.269,-0.00,-0.02,-0.04,0.04
2.279,0.00,-0.02,-0.04,0.04
2.289,0.01,-0.01,-0.05,0.05
2.298,-0.01,0.00,-0.04,0.04
2.309,-0.02,0.01,-0.04,0.05
2.319,-0.01,-0.01,-0.05,0.05
2.329,-0.01,-0.01,-0.05,0.05
2.339,0.01,0.00,-0.05,0.05
2.349,-0.01,0.00,-0.03,0.03
2.359,0.01,-0.02,-0.04,0.04
2.369,0.01,-0.01,-0.04,0.04
2.379,-0.01,0.00,-0.04,0.04
2.389,-0.00,-0.01,-0.03,0.04
2.399,-0.01,-0.01,-0.06,0.06
2.410,-0.00,0.00,-0.04,0.04
2.420,-0.01,-0.02,-0.05,0.05
2.430,0.01,-0.01,-0.04,0.04
2.440,0.00,-0.01,-0.05,0.05
2.450,-0.01,-0.01,-0.04,0.04
2.460,0.00,-0.01,-0.04,0.04
2.470,-0.00,-0.01,-0.04,0.04
2.480,0.01,-0.01,-0.05,0.05
2.490,0.00,0.00,-0.04,0.04
2.500,-0.00,0.00,-0.04,0.04
2.511,-0.01,-0.01,-0.05,0.05
2.520,-0.00,0.00,-0.05,0.05
2.531,-0.01,0.01,-0.05,0.05
2.541,0.01,0.00,-0.06,0.06
2.551,-0.01,0.00,-0.05,0.05
2.561,-0.00,-0.01,-0.04,0.04
2.571,0.00,-0.01,-0.03,0.04
2.581,0.00,0.00,-0.04,0.04
2.591,-0.01,-0.02,-0.04,0.05
2.601,-0.01,-0.02,-0.03,0.04
