time,ax,ay,az,atotal
0.000,0.03,-0.19,0.33,0.38
0.010,-0.01,-0.16,0.31,0.35
0.020,-0.01,-0.05,0.30,0.30
0.030,0.05,-0.04,0.28,0.29
0.040,0.15,-0.08,0.36,0.40
0.050,0.30,-0.13,0.40,0.52
0.060,0.47,-0.16,0.51,0.71
0.071,0.65,-0.29,0.68,0.98
0.081,0.75,-0.32,0.55,0.98
0.091,0.66,-0.37,0.29,0.81
0.101,0.62,-0.46,0.14,0.78
0.111,0.71,-0.53,0.24,0.92
0.121,0.79,-0.66,0.52,1.15
0.131,0.88,-0.85,0.80,1.46
0.141,0.96,-1.04,0.91,1.68
0.151,1.04,-1.15,0.93,1.81
0.161,1.02,-1.23,0.92,1.85
0.172,0.96,-1.31,0.84,1.83
0.181,0.87,-1.38,0.76,1.80
0.192,0.82,-1.41,0.77,1.80
0.202,0.71,-1.44,0.79,1.79
0.212,0.56,-1.48,0.73,1.74
0.222,0.39,-1.51,0.61,1.67
0.232,0.08,-1.60,0.52,1.68
0.242,-0.14,-1.71,0.48,1.78
0.252,-0.13,-1.67,0.39,1.72
0.262,-0.01,-1.52,0.23,1.53
0.272,0.09,-1.31,-0.03,1.32
0.282,0.07,-1.11,-0.43,1.19
0.292,-0.05,-0.94,-0.82,1.25
0.302,-0.20,-0.81,-1.08,1.36
0.313,-0.42,-0.73,-1.08,1.37
0.322,-0.70,-0.80,-0.54,1.19
0.333,-1.00,-1.01,0.36,1.47
0.343,-1.16,-1.18,1.17,2.03
0.353,-1.18,-1.19,1.68,2.38
0.363,-0.98,-1.24,1.81,2.41
0.373,-0.75,-1.08,1.64,2.10
0.383,-0.54,-0.80,1.30,1.62
0.393,-0.22,-0.44,0.92,1.04
0.403,0.09,-0.20,0.38,0.44
0.413,0.27,-0.08,-0.23,0.37
0.423,0.13,-0.02,-0.70,0.71
0.433,-0.23,-0.13,-0.84,0.88
0.443,-0.61,-0.40,-0.66,0.98
0.454,-0.76,-0.64,-0.22,1.02
0.464,-0.78,-0.80,0.29,1.15
0.474,-0.64,-0.82,0.69,1.25
0.484,-0.35,-0.75,0.89,1.22
0.494,0.03,-0.66,0.85,1.07
0.504,0.44,-0.46,0.49,0.81
0.514,0.70,-0.24,-0.07,0.74
0.524,0.70,-0.14,-0.43,0.84
0.534,0.50,-0.32,-0.51,0.78
0.544,0.26,-0.68,-0.65,0.98
0.554,-0.06,-1.02,-0.91,1.37
0.564,-0.54,-1.37,-1.28,1.95
0.575,-1.10,-1.36,-1.15,2.10
0.585,-1.27,-1.21,-0.86,1.95
0.595,-1.08,-1.30,-0.57,1.79
0.605,-0.61,-1.34,-0.45,1.55
0.615,0.12,-1.21,-0.29,1.25
0.625,0.85,-1.14,-0.28,1.44
0.635,1.25,-0.99,-0.11,1.60
0.645,1.33,-0.67,0.42,1.54
0.655,1.28,-0.50,1.08,1.75
0.665,1.23,-0.62,1.64,2.15
0.675,1.22,-0.86,2.15,2.62
0.685,1.13,-1.10,2.33,2.82
0.696,0.77,-1.24,2.31,2.73
0.705,0.39,-1.19,2.22,2.55
0.716,0.31,-0.95,2.09,2.32
0.726,0.52,-0.57,1.93,2.07
0.736,0.72,-0.24,1.55,1.73
0.746,0.80,0.09,1.06,1.33
0.756,0.77,0.47,0.53,1.05
0.766,0.70,0.76,0.07,1.03
0.776,0.58,0.92,-0.18,1.10
0.786,0.48,1.03,-0.24,1.17
0.796,0.39,1.00,-0.29,1.11
0.806,0.18,0.83,-0.14,0.86
0.816,-0.18,0.51,0.09,0.55
0.826,-0.59,0.10,0.24,0.64
0.837,-0.78,-0.22,0.32,0.87
0.847,-0.75,-0.39,0.34,0.92
0.857,-0.50,-0.38,0.13,0.64
0.867,-0.24,-0.40,-0.23,0.52
0.877,-0.19,-0.73,-0.57,0.95
0.887,-0.70,-1.64,-1.03,2.06
0.897,-1.37,-2.47,-1.45,3.17
0.907,-1.79,-3.16,-1.84,4.07
0.917,-1.56,-3.13,-1.96,4.01
0.927,-0.64,-2.41,-1.72,3.03
0.937,0.35,-2.46,-1.72,3.02
0.947,0.98,-3.29,-1.85,3.89
0.958,0.99,-3.95,-2.38,4.71
0.967,0.56,-4.15,-3.07,5.19
0.978,0.04,-4.12,-3.48,5.39
0.988,-0.37,-4.04,-3.24,5.19
0.998,-0.91,-4.18,-2.13,4.78
1.008,-0.36,-4.42,-0.19,4.44
1.018,1.74,-4.18,2.35,5.10
1.028,4.52,-2.61,5.58,7.64
1.038,6.81,-0.97,8.38,10.84
1.048,7.72,-0.63,9.75,12.45
1.058,7.59,0.19,9.88,12.46
1.068,7.05,1.35,9.05,11.55
1.079,5.77,1.92,7.72,9.83
1.088,4.13,2.02,5.94,7.51
1.099,2.26,2.13,3.88,4.97
1.109,0.28,2.42,1.44,2.83
1.119,-1.37,2.82,-1.21,3.36
1.129,-2.77,3.36,-3.39,5.52
1.139,-4.07,3.30,-5.20,7.38
1.149,-4.93,3.34,-6.50,8.81
1.159,-5.31,3.12,-7.11,9.41
1.169,-5.68,2.13,-7.33,9.51
1.179,-5.50,1.10,-7.48,9.35
1.189,-4.49,0.63,-7.56,8.82
1.199,-3.14,0.41,-7.57,8.21
1.209,-1.63,0.49,-7.35,7.54
1.219,-1.52,0.73,-6.94,7.14
1.229,-3.13,1.93,-6.63,7.58
1.240,-4.80,2.68,-6.67,8.64
1.250,-4.97,2.25,-7.04,8.91
1.260,-3.62,2.08,-7.16,8.29
1.270,-1.53,2.75,-6.17,6.93
1.280,0.97,3.12,-3.96,5.13
1.290,2.89,3.69,-0.52,4.72
1.300,4.59,5.29,5.04,8.64
1.310,6.94,5.31,6.06,10.63
1.320,8.15,5.34,6.35,11.63
1.330,7.30,5.64,5.71,10.85
1.340,5.22,5.89,4.55,9.09
1.351,3.23,5.47,3.17,7.10
1.361,1.90,4.67,2.36,5.57
1.371,1.16,3.72,2.10,4.43
1.381,0.80,2.94,2.00,3.64
1.391,0.60,2.11,1.85,2.87
1.401,0.17,1.12,1.48,1.86
1.411,-0.51,0.17,0.57,0.78
1.421,-1.24,-0.87,-0.81,1.72
1.431,-2.21,-1.31,-2.32,3.46
1.441,-3.62,-0.92,-3.69,5.25
1.451,-4.81,-0.99,-4.43,6.62
1.461,-6.48,-1.59,-4.62,8.12
1.471,-8.11,-1.70,-4.56,9.46
1.482,-8.92,-1.11,-4.41,10.01
1.492,-9.19,-0.46,-4.21,10.12
1.502,-9.12,0.05,-3.83,9.89
1.512,-8.59,0.57,-1.85,8.81
1.522,-4.93,1.63,0.95,5.28
1.532,-0.01,2.15,3.67,4.25
1.542,4.25,2.35,6.38,8.02
1.552,6.89,3.27,8.45,11.38
1.562,5.48,6.21,5.19,9.77
1.572,1.98,7.09,2.78,7.87
1.582,0.08,4.92,5.52,7.40
1.592,-1.86,4.02,4.94,6.63
1.603,-2.75,4.12,3.35,5.98
1.613,-1.53,3.31,3.33,4.93
1.623,0.34,2.03,3.36,3.94
1.633,1.73,1.06,3.59,4.12
1.643,2.60,0.13,3.58,4.42
1.653,3.34,-1.03,2.92,4.55
1.663,4.53,-2.86,1.80,5.65
1.673,4.33,-3.56,0.23,5.61
1.683,1.87,-3.06,-1.01,3.73
1.693,-1.28,-2.53,-1.98,3.46
1.703,-3.45,-2.54,-2.85,5.15
1.713,-4.50,-2.46,-2.95,5.91
1.724,-4.80,-3.29,-2.99,6.54
1.733,-4.89,-4.69,-3.15,7.47
1.744,-4.96,-5.12,-3.50,7.94
1.754,-4.81,-4.56,-4.01,7.74
1.764,-4.16,-4.11,-4.54,7.40
1.774,-2.22,-4.16,-4.49,6.51
1.784,0.04,-3.77,-3.65,5.25
1.794,1.76,-3.14,-2.91,4.63
1.804,3.37,-2.92,-1.59,4.74
1.814,4.56,-2.99,1.14,5.57
1.824,3.62,-2.45,4.08,5.98
1.834,4.92,-1.95,2.62,5.90
1.844,5.32,-2.17,2.22,6.16
1.854,5.03,-2.27,1.73,5.78
1.865,4.45,-2.02,1.62,5.15
1.875,3.91,-1.87,1.78,4.68
1.885,3.78,-1.81,1.66,4.51
1.895,3.80,-1.62,1.48,4.39
1.905,3.94,-1.54,1.38,4.45
1.915,3.98,-1.49,1.14,4.40
1.925,3.82,-1.50,0.73,4.17
1.935,3.49,-1.53,0.22,3.81
1.945,2.91,-1.51,-0.35,3.30
1.955,2.38,-1.58,-0.78,2.96
1.965,2.01,-1.73,-1.25,2.93
1.975,1.91,-1.77,-1.56,3.04
1.988,1.96,-1.77,-1.48,3.02
1.996,2.07,-1.85,-1.24,3.04
2.006,2.01,-1.96,-0.70,2.89
2.016,1.55,-2.46,-0.33,2.92
2.026,0.28,-2.42,-0.12,2.44
2.036,-0.92,-1.86,-0.34,2.11
2.046,-2.25,-1.67,-0.95,2.96
2.056,-3.89,-1.47,-1.33,4.37
2.066,-5.51,-0.69,-1.49,5.75
2.076,-6.28,0.53,-1.46,6.47
2.086,-6.22,2.14,-1.22,6.69
2.096,-5.52,3.97,-1.03,6.88
2.106,-4.01,6.06,-0.89,7.32
2.116,-1.87,8.30,-0.54,8.52
2.127,-0.07,9.96,0.08,9.96
2.137,1.10,10.66,2.12,10.92
2.147,2.35,10.67,5.19,12.10
2.157,4.16,9.86,6.26,12.40
2.167,5.42,8.57,8.17,13.03
2.177,5.93,7.60,8.92,13.13
2.187,5.53,6.41,9.01,12.36
2.197,4.57,4.88,8.13,10.52
2.207,3.06,3.25,6.50,7.88
2.217,1.54,1.79,4.66,5.22
2.227,0.31,0.66,2.93,3.02
2.237,-0.74,-0.27,1.47,1.67
2.248,-1.57,-1.12,0.62,2.02
2.258,-2.09,-2.00,0.20,2.90
2.268,-2.55,-2.81,-0.10,3.80
2.278,-2.81,-3.64,-0.62,4.64
2.288,-3.14,-4.40,-1.16,5.53
2.298,-3.76,-5.20,-1.55,6.61
2.308,-3.62,-5.56,-2.05,6.94
2.318,-2.94,-4.85,-2.55,6.22
2.328,-2.14,-3.83,-2.79,5.20
2.338,-1.32,-3.14,-2.59,4.28
2.348,-0.51,-2.85,-2.15,3.60
2.358,0.17,-2.51,-1.31,2.84
2.369,0.80,-1.97,-0.36,2.16
2.378,1.57,-1.42,0.59,2.20
2.389,2.40,-0.99,1.38,2.94
2.399,3.00,-0.73,1.94,3.64
2.409,3.16,-0.81,2.15,3.91
2.419,2.83,-1.08,1.97,3.62
2.429,2.29,-1.36,2.08,3.38
2.439,1.70,-1.48,2.15,3.12
2.449,1.39,-1.81,1.89,2.96
2.459,1.30,-2.25,1.80,3.17
2.469,1.30,-2.58,1.81,3.41
2.479,1.48,-2.97,1.83,3.79
2.489,1.86,-3.43,1.98,4.38
2.499,2.35,-3.86,1.96,4.93
2.510,2.75,-4.04,1.51,5.11
2.520,2.53,-3.61,0.99,4.52
2.530,1.87,-3.33,0.52,3.85
2.540,1.18,-3.43,0.08,3.62
2.550,0.19,-3.46,-0.51,3.50
2.560,-0.79,-3.38,-1.24,3.69
2.570,-1.59,-3.38,-1.86,4.17
2.580,-1.85,-3.66,-2.39,4.75
2.590,-1.72,-3.94,-2.81,5.13
2.600,-1.28,-4.08,-2.98,5.21
2.610,-0.79,-4.12,-3.02,5.17
2.620,-0.01,-4.01,-2.91,4.95
2.631,0.92,-3.88,-2.43,4.67
2.640,1.70,-3.41,-1.54,4.11
2.651,2.79,-2.50,-0.43,3.77
2.661,3.89,-1.29,0.90,4.20
2.671,5.23,-0.16,2.16,5.66
2.681,6.58,0.78,3.48,7.48
2.691,7.73,1.68,4.90,9.31
2.701,8.42,2.79,6.09,10.76
2.713,8.45,3.43,6.99,11.49
2.721,7.41,3.53,6.94,10.75
2.731,5.66,3.34,5.83,8.79
2.741,4.27,3.20,4.22,6.80
2.752,2.96,3.05,2.75,5.06
2.761,1.70,3.17,1.45,3.88
2.772,0.73,3.37,0.54,3.49
2.782,0.15,3.46,-0.14,3.47
2.792,-0.19,3.53,-0.84,3.64
2.802,-0.51,3.62,-1.67,4.02
2.812,-0.86,3.73,-2.29,4.46
2.822,-1.20,3.80,-2.42,4.66
2.832,-1.78,3.73,-2.64,4.91
2.842,-2.20,3.52,-3.19,5.24
2.852,-2.94,3.01,-3.70,5.61
2.862,-3.18,3.18,-3.36,5.62
2.872,-3.87,2.87,-3.03,5.69
2.882,-4.57,2.11,-2.80,5.76
2.893,-4.78,2.00,-2.26,5.65
2.903,-5.06,1.89,-1.45,5.59
2.913,-5.31,1.96,-0.58,5.69
2.923,-5.26,2.28,-0.02,5.73
2.933,-4.82,2.39,0.21,5.39
2.943,-4.30,2.37,0.23,4.91
2.953,-4.09,2.23,0.11,4.66
2.963,-4.38,1.86,0.72,4.81
2.973,-4.79,1.63,0.60,5.09
2.983,-4.52,1.32,-0.27,4.72
2.993,-4.06,0.75,-0.15,4.13
3.003,-3.99,0.48,-0.23,4.02
3.013,-4.15,0.18,-0.16,4.15
3.023,-3.99,-0.26,-0.37,4.01
3.034,-3.60,-0.61,-0.52,3.69
3.044,-3.15,-0.93,-0.46,3.32
3.054,-2.65,-1.39,-0.22,3.00
3.064,-1.98,-2.09,0.05,2.88
3.074,-1.42,-2.90,0.19,3.23
3.084,-1.28,-3.77,0.11,3.99
3.094,-1.49,-4.54,-0.10,4.78
3.104,-1.83,-5.10,-0.36,5.43
3.114,-2.24,-5.49,-0.46,5.95
3.124,-2.71,-5.59,-0.28,6.22
3.134,-2.89,-5.44,-0.04,6.16
3.144,-2.62,-5.18,0.33,5.81
3.155,-1.93,-4.90,0.70,5.31
3.165,-0.91,-4.34,0.85,4.52
3.175,0.84,-3.42,0.87,3.63
3.185,2.71,-2.27,0.91,3.65
3.195,4.69,-0.88,1.21,4.92
3.205,6.98,0.47,1.72,7.21
3.215,8.61,1.84,2.09,9.05
3.225,9.16,3.02,1.89,9.83
3.235,9.32,3.56,1.42,10.08
3.245,8.93,3.79,1.10,9.77
3.255,7.98,3.67,0.73,8.81
3.265,6.85,3.22,0.32,7.58
3.276,5.96,2.94,0.13,6.65
3.285,4.76,2.13,-0.32,5.23
3.296,3.33,1.37,-0.89,3.71
3.306,2.19,1.20,-1.36,2.84
3.316,1.50,1.34,-1.43,2.47
3.326,1.43,1.48,-1.14,2.35
3.336,1.52,1.59,-0.92,2.38
3.346,1.14,1.60,-1.08,2.24
3.356,0.31,1.51,-1.44,2.11
3.366,-0.47,1.42,-1.96,2.46
3.376,-0.84,1.27,-2.43,2.86
3.386,-1.00,1.23,-2.62,3.07
