time,ax,ay,az,atotal
1.472,-0.18,0.86,-0.69,1.12
1.482,-0.31,1.02,-0.25,1.09
1.492,-0.35,0.86,0.42,1.02
1.502,-0.42,0.35,0.96,1.10
1.512,-0.48,-0.17,1.25,1.35
1.522,-0.43,-0.52,1.36,1.52
1.532,-0.44,-0.71,1.21,1.47
1.542,-0.59,-0.83,0.73,1.25
1.552,-0.78,-0.90,0.16,1.20
1.562,-1.00,-1.06,-0.59,1.57
1.572,-1.27,-1.26,-1.23,2.16
1.583,-1.65,-1.34,-1.41,2.55
1.593,-1.71,-1.35,-1.50,2.65
1.603,-1.71,-1.36,-1.68,2.76
1.613,-1.77,-1.34,-1.84,2.88
1.623,-2.01,-1.45,-1.88,3.11
1.633,-2.66,-1.92,-1.93,3.80
1.643,-2.61,-1.67,-1.93,3.65
1.653,-1.99,-0.65,-1.77,2.74
1.663,-1.30,0.01,-1.62,2.08
1.673,-1.10,0.02,-1.25,1.66
1.684,-1.51,0.25,0.46,1.60
1.693,-1.19,0.27,0.98,1.57
1.704,-0.70,0.24,1.00,1.25
1.714,-0.61,0.29,0.96,1.17
1.724,-0.84,0.17,0.67,1.08
1.734,-1.09,0.19,0.25,1.13
1.744,-1.04,0.31,0.01,1.09
1.754,-0.93,0.35,-0.00,1.00
1.764,-0.55,0.63,0.06,0.84
1.774,-0.16,1.12,0.14,1.14
1.784,0.08,1.59,0.15,1.60
1.794,0.32,2.05,0.06,2.08
1.804,0.45,2.59,-0.20,2.64
1.814,0.35,3.03,-0.59,3.11
1.825,0.09,3.15,-0.79,3.25
1.834,-0.38,3.00,-0.77,3.12
1.845,-0.99,2.94,-0.57,3.16
1.855,-1.28,2.94,0.01,3.21
1.865,-1.08,2.95,1.17,3.36
1.875,-1.10,2.87,2.27,3.82
1.885,-1.24,2.74,3.19,4.38
1.895,-1.16,2.25,3.83,4.59
1.905,-0.78,1.36,3.98,4.27
1.915,-0.39,0.54,3.58,3.64
1.925,-0.56,0.15,3.04,3.10
1.935,-1.16,0.21,2.47,2.73
1.946,-1.64,0.57,1.72,2.45
1.956,-2.06,0.92,0.82,2.40
1.966,-2.53,1.07,0.22,2.76
1.975,-2.56,1.01,-0.01,2.75
1.986,-2.19,0.71,0.09,2.30
1.996,-1.57,0.37,0.44,1.67
2.006,-0.89,0.22,0.73,1.17
2.016,-0.53,0.09,0.66,0.85
2.026,-0.32,-0.22,0.34,0.52
2.036,-0.35,-0.46,-0.09,0.59
2.046,-0.64,-0.67,-0.45,1.02
2.056,-0.78,-1.02,-0.85,1.54
2.067,-0.14,-1.48,-1.31,1.98
2.076,0.85,-1.89,-1.59,2.61
2.087,0.70,-1.76,-1.55,2.45
2.097,-0.32,-1.44,-1.23,1.92
2.107,-1.13,-1.29,-0.81,1.90
2.117,-1.87,-1.11,-0.50,2.23
2.127,-1.82,-1.25,-0.43,2.25
2.137,-1.39,-1.40,-0.54,2.04
2.147,-1.16,-1.36,-0.68,1.91
2.157,-0.98,-1.29,-0.73,1.78
2.167,-0.78,-1.33,-0.76,1.72
2.177,-0.75,-1.31,-0.69,1.66
2.187,-0.79,-1.07,-0.39,1.38
2.197,-0.83,-0.86,-0.06,1.20
2.208,-0.85,-0.79,0.22,1.18
2.218,-0.87,-0.67,0.29,1.13
