time,ax,ay,az,atotal
1.472,-0.13,0.01,0.05,0.14
1.482,-0.09,-0.00,0.14,0.17
1.492,0.01,-0.04,0.20,0.21
1.502,0.08,-0.06,0.22,0.24
1.512,0.10,-0.07,0.19,0.23
1.522,0.11,-0.08,0.14,0.20
1.532,0.06,-0.09,0.12,0.16
1.542,0.02,-0.10,0.06,0.12
1.552,0.03,-0.09,0.01,0.09
1.562,0.06,-0.10,-0.07,0.14
1.572,0.07,-0.11,-0.11,0.17
1.583,0.06,-0.11,-0.16,0.21
1.593,0.03,-0.14,-0.19,0.23
1.603,0.01,-0.14,-0.21,0.25
1.613,-0.00,-0.12,-0.20,0.23
1.623,-0.00,-0.08,-0.19,0.21
1.633,0.03,-0.05,-0.15,0.16
1.643,0.01,-0.04,-0.12,0.13
1.653,0.02,-0.02,-0.05,0.06
1.663,0.06,-0.03,0.00,0.07
1.673,0.07,-0.08,0.06,0.12
1.683,0.06,-0.10,0.18,0.21
1.693,0.04,-0.11,0.26,0.28
1.703,0.03,-0.13,0.28,0.31
1.714,0.07,-0.11,0.22,0.26
1.724,0.08,-0.12,0.11,0.18
1.734,0.07,-0.13,0.02,0.15
1.744,0.08,-0.12,-0.05,0.15
1.754,0.07,-0.12,-0.11,0.18
1.764,0.04,-0.12,-0.12,0.18
1.774,0.04,-0.09,-0.09,0.13
1.784,-0.00,-0.08,-0.05,0.09
1.794,0.03,-0.05,-0.02,0.06
1.804,0.03,-0.05,-0.02,0.06
1.814,0.04,-0.04,-0.02,0.06
1.824,0.05,-0.03,0.01,0.06
1.834,0.01,-0.05,0.01,0.05
1.845,-0.00,-0.04,0.04,0.05
1.855,-0.03,-0.06,0.06,0.09
1.865,-0.01,-0.07,0.03,0.08
1.875,0.02,-0.09,-0.02,0.09
1.885,0.08,-0.10,-0.09,0.15
1.895,0.11,-0.10,-0.15,0.21
1.905,0.12,-0.08,-0.23,0.27
1.915,0.16,-0.05,-0.24,0.29
1.925,0.16,-0.06,-0.20,0.26
1.935,0.12,-0.03,-0.13,0.18
1.945,0.05,-0.04,-0.00,0.07
